MSI_DO_YOU_AGREE,"同意しますか？"
MSI_NAVIGATION_RS_MOBTMAP_SUCCESS,"該当MOBが出現するマップに到着しました。"
MSI_NAVIGATION_RS_POSTMAP_SUCCESS,"以前と同じ目的地です。"
MSI_NAVIGATION_RS_SAMETARGET,"表示された方向に移動してください。"
MSI_NAVIGATION_RS_HERE,"現在のマップが目的地です。"
MSI_NAVIGATION_PRINT_S,"Navigation >:%s"
MSI_NAVIGATION_PRINT_GO_S,"Navigation >:案内する(%s)を利用して"
MSI_NAVIGATION_PRINT_MAP_S,"Navigation >:マップ(%s)に移動してください。"
MSI_NAVIGATION_PRINT_SELECTMAP_S,"Navigation >:マップ(%s)を選択して移動してください。"
MSI_NAVIGATION_PRINT_PLANE,"Navigation >:飛行船に移動してください。"
MSI_NAVIGATION_PRINT_WARP,"Navigation >:ワープを利用して次のマップに移動してください。"
MSI_NAVIGATION_PRINT_ITEM,"Item:"
MSI_NAVIGATION_ZZ,"$$"
MSI_NAVIGATION_ZZLV,"$$lv"
MSI_NAVIGATION_ZZLIMIT,"～"
MSI_NAVIGATION_ZZALL,"$$all"
MSI_SHOP_ITEM_BAY_TITLE,"Confirm Deal"
MSI_SHOP_ITEM_BAY_MAG1,"Below is the total cost:"
MSI_SHOP_ITEM_BAY_MAG2," Zeny"
MSI_SHOP_ITEM_BAY_MAG3,"Press buy to confirm."
MSI_BASIC_EXP_MSG2,"%.1f%% (Internet cafe %.1f%% + TPLUS %.1f%% + Premium %.1f%% + %s Server %.1f%%)"
MSI_CARDWIN,"Card Book"
MSI_PERSONAL_INFORMATION_MSG_CHN,"%d%% [ ( Basic 100%% + %s Server %d%% ) * Active %.1f ]"
MSI_PERSONAL_INFORMATION_MSG_CHN_DEATH,"%d%% [ Basic 100%% + %s Server %d%% ]"
MSI_CAUTION_PKZONE,"This is PK region. Minors,Please leave immediately."
MSI_FATIGUE,"Fatigue"
MSI_FATIGUE_LEVEL_ZERO,"Health and gaming revenue is 100%."
MSI_FATIGUE_LEVEL_HALF,"Fatigue because it is now a guest of the gaming revenue is down 50 percent.Hope for the proper health"
MSI_FATIGUE_LEVEL_FULL,"Now because it is a non-health to the health of the guests want to offline games. If you still are online gaming revenue because the damage to the health of the game falls to 0%% again after 5 hours will be restored offline."
MSI_FATIGUE_MESSAGE0,"Online since %d minutes"
MSI_FATIGUE_MESSAGE1,"Online Time: %d"
MSI_FATIGUE_MESSAGE2,"Online since %d hours and %d minutes"
MSI_EXPLAIN_MONSTERHP,"/monsterhp : 攻撃したモンスターのHP情報を表示します。 On/Off"
MSI_SKILLPOINT2,"スキルポイント : "
MSI_BAN_BILLING_SERVER_ERROR,"There is no response from the authentification server. Please try again"
MSI_REFUSE_CHANGE_PASSWD_FORCE,"Please change your password"
MSI_REFUSE_CHANGE_PASSWD_SITE,"http://localhost:6900/"
MSI_PLANNED_TIME_SHUTDOWN,"Guest access is prohibited"
MSI_SHOUTDOWN_TIME,"Your System is been Shutdown, %1.2d-%1.2d-%1.2d %1.2d:%1.2d:%1.2d is the end time."
MSI_PARTIAL_SHOUTDOWN_TIME,"Selected System Shutdown is activated in your account,Time Left: %1.2d hours %1.2d minutes."
MSI_MENU_REPLAYWND,"リプレイ"
MSI_MENU_MACROWND,"Macro"
MSI_MENU_WEBBROWSERWND,"Webbrowser"
MSI_MENU_NAVIGATIONWND,"ナビゲーション"
MSI_MENU_UAEURLWND,"UAEURL"
MSI_CLAN_INFOMANAGE,"Clan Info"
MSI_CLAN_LEVEL,"Clan Level"
MSI_CLAN_NAME,"Clan Name"
MSI_CLAN_MARK,"Clan Emblem"
MSI_ALLY_CLAN,"Ally Clan"
MSI_HOSTILITY_CLAN,"Hostile Clan"
MSI_SEND_TO_CLAN,"Send to Clan"
MSI_CLAN_MASTER_NAME,"Clan Leader"
MSI_CLAN_NUM_MEMBER,"Number of Members"
MSI_CLAN_MANAGE_LAND,"Castles Owned"
MSI_VIEW_CLAN_MSG,"Clan chat"
MSI_TWWEB_WARRING,"Go to Page Charged."
MSI_TWWEB_URL,"http://localhost:6900/"
MSI_STR_MAKECHARACTER,"キャラクター作成"
MSI_CHR_DELETE_RESERVED_FAIL_CHARNAME,"Name does not match"
MSI_CHR_DELETE_RESERVED_INPUTCONFIRMSTR_WND_TITLE,"Enter the name of character"
MSI_SELECT_SEX,"Sex Selection Window"
MSI_SPRITE_ALTER,"Editing of the File Detected"
MSI_CONFIRM_TO_OPEN_EVENT_ITEM,"Items obtained by opening the item is character bounded (cannot move to storage). Do you want to open the box?"
MSI_GAME_SETTING,"ゲーム設定"
MSI_SYSTEM_SETTING,"Game System"
MSI_COMMAND_SETTING,"Game Commands"
MSI_COMMAND_LIST,"Game Command ON/OFF"
MSI_MACRO_LIST,"Macro"
MSI_EXCHANGEITEM_DENY_MAP,"Trade is not allowed in this area."
MSI_CART_USE_DENY_MAP,"Using cart is not allowed in this area."
MSI_BLOCK_SUNMOONSTAR_MIRACLE,"The effect of The Sun, the Moon and the Stars would not be happened in this area."
MSI_RANKING_BOARD,"Ranking Board"
MSI_RANKING_NUMBER,"Rank"
MSI_RANKING_NAME,"Name"
MSI_RANKING_POINT,"Points"
MSI_RANKING_BLACKSMITH,"BlackSmith"
MSI_RANKING_ALCHEMIST,"Alchemist"
MSI_RANKING_TAEKWON,"Taekwon"
MSI_RANKING_KILLER,"Killer"
MSI_RANKING_BATTLE_7VS7_ALL,"7 vs 7"
MSI_RANKING_RUNE_KNIGHT,"RuneKnight"
MSI_RANKING_WARLOCK,"Warlock"
MSI_RANKING_RANGER,"Ranger"
MSI_RANKING_MECHANIC,"Mechanic"
MSI_RANKING_GUILLOTINE_CROSS,"GuillotineCross"
MSI_RANKING_ARCHBISHOP,"Archbishop"
MSI_RANKING_ROYAL_GUARD,"RoyalGuard"
MSI_RANKING_SORCERER,"Sorcerer"
MSI_RANKING_MINSTREL,"Minstrel"
MSI_RANKING_WANDERER,"Wanderer"
MSI_RANKING_GENETIC,"Genetic"
MSI_RANKING_SHADOW_CHASER,"ShadowChaser"
MSI_RANKING_SURA,"Sura"
MSI_RANKING_KAGEROU,"Kagerou"
MSI_RANKING_OBORO,"Oboro"
MSI_RANKING_SELECT,"Select Ranking Type"
MSI_RANKING_TYPE,"Ranking Type"
MSI_WAITING_FOR_ENTER_TO_CHARACTER_SEVER_IN_SEC,"Currently,Server is full.           ^0000ffPeople Currently Waiting : %d                    Expected Waiting Time : %dSeconds"
MSI_WAITING_FOR_ENTER_TO_CHARACTER_SEVER_IN_MIN,"Currently,Server is full.           ^0000ffPeople Currently Waiting : %d                    Expected Waiting Time : %dMinutes %d Seconds"
MSI_CBT_ACTIVE_USER_CHECK,"CBT is not an invited user"
MSI_NAVIGATION_HELP_1," -------------- Navigation commend --------------"
MSI_NAVIGATION_HELP_2,"/navigation    /navi  :  /navi yuno 100/100           ->> Map name, location(100/100)"
MSI_NAVIGATION_HELP_3,"/navigation2  /navi2 :  /navi2 yuno 100/100 1/1/1 ->> Map name, location(100/100), scrool/zeny/plane (1:use 0: not use)"
MSI_NAVIGATION_HELP_4," -------------- Navigation search commend -------"
MSI_NAVIGATION_HELP_5,"$$all         : All list showing (you can divide the type of output in Type.)"
MSI_NAVIGATION_HELP_6,"$$lv30       : Its level monster(Numbers can be changable)"
MSI_NAVIGATION_HELP_7,"$$lv20~30  : Its Level Monster (Numbers can be changable)"
MSI_RANKING_BATTLE_1VS1_ALL,"1 vs 1"
MSI_SHADOW_EQUIPMENT,"補助装備"
MSI_CHARACTERERROR_JOB,"%d番目のキャラクターの情報が問題があります。ErrorCode(%d)"
MSI_NAVIGATION_ALL_S,"(%s) %d / %d"
MSI_NAVIGATION_ALL_SD,"%s-%s(%d/%d)"
MSI_REFUSE_OVER_USERLIMIT,"Server Exceeded the maximum number of users,Cannot Connect anymore users."
MSI_REFUSE_ERRORCODE,"Server Connection Failed (%d)"
MSI_REFUSE_DISCONNECT_KEEP_TIME,"Login Timeout Permitted"
MSI_REFUSE_WEB_AUTH_FAILED,"Login Authentication Failed from Authentication Server."
MSI_GUILDNAME_CHECK,"ギルド名の行頭と末尾には半角スペースは使用できません。"
MSI_BILLING_CHN_1,"Hey,Hello There"
MSI_BILLING_CHN_2,"Available Time will End on %d month %d hour %d:%d"
MSI_BILLING_CHN_3,"You've lot of time,Play in Peace."
MSI_BILLING_CHN_4,"Your hours will be terminated within this week. Please Charge before termination."
MSI_BILLING_CHN_5,"Your hours will be terminated within 24 hours.Please Charge Quickly."
MSI_BILLING_CHN_6,"Current Time Left:%d hours.Charge the game for uninterrupted play."
MSI_BILLING_CHN_7,"Current Time Left:%d minutes.Charge the game for uninterrupted play."
MSI_BILLING_CHN_8,"Time Left: %d hours %d minutes"
MSI_BASIC_EXP_MSG_THAI,"%d%% ( Basic 100%% + Internet cafe %d%% + Premium %d%% + %s Server %d%% )"
MSI_CHN_BILLING_EXPIRE_TIME,"After %d hours %d minutes, your game will be terminated."
MSI_CHN_BLOCK_FOREVER,"Your account is blocked permanently"
MSI_CHN_BLOCK,"Your account is blocked\n Released time : %04d-%02d-%02d %02d:%02d"
MSI_WORLDMAP_MSG1,"マップ名表示"
MSI_WORLDMAP_MSG2,"Map(Alt)"
MSI_WORLDMAP_MSG3,"Guide info"
MSI_WORLDMAP_MSG4,"Search information"
MSI_WORLDMAP_MSG5,"Airship"
MSI_WORLDMAP_MSG6,"Kafra"
MSI_WORLDMAP_MSG7,"(Arrival)"
MSI_NAVIGATION_MOB_S_S_S,"Mob)%s:%s(%s)"
MSI_NAVIGATION_NUM,"分布図:%s"
MSI_NAVIGATION_NUM1,"非常に多い"
MSI_NAVIGATION_NUM2,"多い"
MSI_NAVIGATION_NUM3,"普通"
MSI_NAVIGATION_NUM4,"少ない"
MSI_NAVIGATION_NUM5,"非常に少ない"
MSI_BANK_SYSTEM_ERROR,"The bank is not available. Please try again in a few minutes."
MSI_BANK_WITHDRAW_NO_MONEY,"Bank balance is low."
MSI_BANK_DEPOSIT_NO_MONEY,"You don't have enough zeny"
MSI_BANK_DEPOSIT_ZERO,"Minimum Deposit Amount: 1 zeny"
MSI_BANK_WITHDRAW_ZERO,"Minimum Withdrawal Amount: 1 zeny"
MSI_BANK_OVER_INT_MAX,"You cannot hold more than 2,147,483,647 Zeny"
MSI_REFUSE_MOTP_LOCK,"your account is lock by mobile otp"
MSI_REFUSE_MOTP_AUTH_FAIL,"MOTP auth fail"
MSI_JOBPLUSEXP_VALUE,"For %d minutes, Job experience obtained from monster is increased by %d%%."
MSI_BANK_MY_ZENY,"所持 Zeny : %s Zeny"
MSI_BANK_ZENY,"Zeny"
MSI_BANK_WARNING,"The Maximum amount is 2,147,483,647 Zeny"
MSI_NEED_MORE_BULLET,"弾丸を装備して下さい。"
MSI_OVERPRICE_MAX,"1,000,000,000Zeny以上の数値を入力しても、1,000,000,000Zenyで設定されます。"
MSI_NOT_VALID_AUTH_TICKET,"AuthTicket is Not Valid"
MSI_STEAMAGENCY_ERROR,"ErrorCategory : %d, ErrorCode : %d (%d,%d,%d,%d)"
MSI_BASIC_EXP_MSG_INDONESIA,"%d%% ( Basic 100%% + Premium %d%% + Internet cafe %d%% + %s Server %d%% )"
MSI_RECEIVEITEM_VALUE,"For %d minutes, item drop rate from defeating monster is increased by %d%%."
MSI_RECEIVEITEM_VALUE_1,"For %d minutes %.2d, item drop rate from defeating monster is increased by %d%%."
MSI_WARNING_PRICE1,"%sの価格が"
MSI_WARNING_PRICE2,"100000000"
MSI_WARNING_PRICE3,"^FF0000%d^0000FF億"
MSI_WARNING_PRICE4,"10000000"
MSI_WARNING_PRICE5,"^FF0000%d^0000FF千万"
MSI_WARNING_PRICE6,"^0000FFZeny以上^000000ですが入力金額に問題はありませんか？"
MSI_WARNING_PRICE7,"1千万Zeny以上の場合安全確認する"
MSI_AMERICA_CASHSHOP_URL,"http://localhost:6900/"
MSI_AMERICA_CASHSHOP_URL_STEAM,"http://localhost:6900/"
MSI_QUEST_INFO_01,"A giant crevice appeared in Bifrost, the bridge between Splendide, the end of the world and the floating continent of Alfheim, and you do not know the source of the labyrinth forest."
MSI_QUEST_INFO_02,"This is a marker indicating the end of the trip, a new world is opening indicators! Guardian, such as the lyrics to the temptation was gradually losing the soul."
MSI_QUEST_INFO_03,"For thousands of years, a mysterious melody has mesmerized the guardian. After a millennia of slumber, the guardian became confused about what he had been protecting all these years, and began to suspect that he might be the one who has been sealed and hidden away."
MSI_QUEST_INFO_04,"When the melody reached its peak, a giant crevice appeared in Bifrost, the bridge between Splendide, the end of the world and the floating continent of Alfheim. As a result, the two worlds were cut off from each other, causing a big problem for the people."
MSI_QUEST_INFO_05,"Now, the only way to get to Bifrost is through the Labyrinth Forest. Nobody knows how the forest came to exist, and nobody has ever come out of it alive..."
MSI_QUEST_INFO_06,"Swallowed countless adventurers to put a hell of confusion, wandering in the forest labyrinth of nowhere, like the heart of a woman was being extend deeper confusion."
MSI_BANK_CHECK_NUM,"You can enter only numbers."
MSI_BANK_PROHIBIT,"Exchange or store window is active and cannot register the withdrawal."
MSI_QUEST_INFO_00,"Go to"
MSI_ITEM_COMPARISON,"Compare"
MSI_WRONG_GUN,"This Weapon is not suitable for the bullet you are equipping."
MSI_WRONG_BULLET,"This bullet is not suitable for the weapon you are equipping."
MSI_BUYINGSTORE_MAKEWND_ADD_GOODS,"販売アイテムが登録されていません。販売したいアイテムを登録してください。"
MSI_ITEM_IN_MAIL_SYSTEM,"ITEM"
MSI_GUILD_STORAGE_OPEN_ERROR,"ギルド倉庫を利用する事が出来ません。"
MSI_GUILD_STORAGE_OPEN_NO_JOIN_GUILD,"ギルドに加入されていません。加入後に利用してください。"
MSI_GUILD_STORAGE_WARNING_USING_ANOTHER_MEMBER,"他のギルド員が使用中です。少し時間が経ったあと利用してください。"
MSI_GUILD_STORAGE_PERMISSON,"倉庫権限"
MSI_GUILD_STORAGE_TITLE,"ギルド倉庫"
MSI_GUILD_STORAGE_PERMISSON_WARNING_MSG,"ギルド倉庫の使用権限がありません。"
MSI_BARGAINSALE_TOOLWND_TITLE,"Limited Sale Registration Window"
MSI_BARGAINSALE_TOOLWND_DB_NAME,"Item DB Name"
MSI_BARGAINSALE_TOOLWND_DB_NUMBER,"Item DB Number"
MSI_BARGAINSALE_TOOLWND_SELL_COUNT,"Number of Sale"
MSI_BARGAINSALE_TOOLWND_SELL_STARTTIME,"Sale Start Time"
MSI_BARGAINSALE_TOOLWND_SELL_PERIODTIME,"Time to sell"
MSI_BARGAINSALE_TOOLWND_INPUT_COUNT_MSG,"Please enter amount you want to sell"
MSI_BARGAINSALE_TOOLWND_INPUT_STARTTIME_MSG,"Enter start time of sale"
MSI_BARGAINSALE_TOOLWND_WRONG_RANGE_MSG,"Start time does not match the scope of sales."
MSI_BARGAINSALE_TOOLWND_INPUT_PERIODTIME_MSG,"Please enter the time"
MSI_BARGAINSALE_TOOLWND_INPUT_ITEMDBNAME_MSG,"Please enter the Item DB Name"
MSI_BARGAINSALE_TOOLWND_ITEMID_CHECK_FAILED_MSG,"Item ID lookup failed. Please try again later"
MSI_BARGAINSALE_TOOLWND_RESULT_FORMAT,">> ItemName : %s / Price : %dc / Quantity : %d / TimeOfSale : %dMonth:%dDay:%dHour:%dMinute ~ %dMonth:%dDay:%dHour:%dMinute"
MSI_BARGAINSALE_TOOLWND_APPLY_SUCCESS_MSG,"Registration successful"
MSI_BARGAINSALE_TOOLWND_APPLY_FAILED_MSG,"Registration failure. Please try again later."
MSI_BARGAINSALE_TOOLWND_ALREADY_REGISTERED_MSG,"Item has already been registered. Please try again later."
MSI_BARGAINSALE_TOOLWND_DELETE_FAILED_MSG,"Failed to remove this item. Please try again later."
MSI_BARGAINSALE_TOOLWND_DELETE_SUCCESS_MSG,"%s item has been removed."
MSI_BARGAINSALE_CASHSHOP_TAB_NAME,"Special"
MSI_BARGAINSALE_CASHSHOP_REFRESH_BTN_TOOLTIP,"Update quantity of limited sale items"
MSI_BARGAINSALE_CASHSHOP_TIMER,"Sales closed"
MSI_BARGAINSALE_CASHSHOP_REFRESH_MSG,"item count should be renewed"
MSI_BARGAINSALE_CASHSHOP_CHECK_COUNT_MSG,"Item stock is low. You can only buy %d items."
MSI_BARGAINSALE_START_MSG,"%s Items are on sale"
MSI_BARGAINSALE_CLOSE_MSG,"%s time-out or sale of the items sold has been shut down due to the limited sales "
MSI_BARGAINSALE_TOOLWND_CALL,"/limitedsale"
MSI_FRANCE_CASHSHOP_URL,"http://localhost:6900/"
MSI_FRANCE_CASHSHOP_URL_STEAM,"http://localhost:6900/"
MSI_PARA_RESULT_TITLE,"購入に成功した品目"
MSI_PARA_WRONG_PURCHASE_COUNT_MSG,"注文量が在庫を超えました。"
MSI_PARTY_INVITE,"招待することができないキャラクター名です。"
MSI_GUILD_INVITE,"ギルドに招待することができないキャラクター名です。"
MSI_PARA_PURCHASE_ITEM_FAIL,"購入に失敗しました。販売アイテムの在庫が無いか、所持アイテムの種類数が多い可能性があります。"
MSI_NOWARPSKILL2,"このマップでは、ミニマップの拡大表示とメモができません。"
MSI_PARA_PURCHASE_ITEM_WEIGHT,"重量超過のため、アイテムを購入することができません。"
MSI_GUILD_STORAGE_NUMBER,"No."
MSI_GUILD_STORAGE_ITEM,"アイテム"
MSI_GUILD_STORAGE_ITEM_COUNT,"個数"
MSI_GUILD_STORAGE_USER_NAME,"名前"
MSI_GUILD_STORAGE_LOG_TIME,"時間"
MSI_GUILD_STORAGE_ITEM_IN_OUT,"入/出"
MSI_GUILD_STORAGE_LOG_FINISH,"ログが存在していません。"
MSI_GUILD_STORAGE_LOG_ALL,"全体"
MSI_GUILD_STORAGE_LOG_IN,"入庫"
MSI_GUILD_STORAGE_LOG_OUT,"出庫"
MSI_GUILD_STORAGE_LOG_WND_NAME,"ギルド倉庫内訳"
MSI_GUILD_STORAGE_LOG_CAUTION,"内訳は近々の100個のみ表示されます。"
MSI_GUILD_STORAGE_CLOSE_TIMEOUT,"ギルド倉庫の使用時間２分が経過してしまったため、自動で終了されます。"
MSI_INCORRECT_GAMESAMBEID,"Incorrect GameSamba ID. Please Try Again."
MSI_EA5,"%s [%dオプション] : %d 個"
MSI_USESKILL_FAIL_COINTS,"コインが必要です。"
MSI_USESKILL_FAIL_COINTS_NUM,"コインが %d枚必要です。"
MSI_FAIL_NEED_EQUIPPED_GUN_GATLING,"ガトリングガンを装備して下さい。"
MSI_FAIL_NEED_EQUIPPED_GUN_SHOTGUN,"ショットガンを装備して下さい。"
MSI_FAIL_NEED_EQUIPPED_GUN_RIFLE,"ライフルを装備して下さい。"
MSI_FAIL_NEED_EQUIPPED_GUN_HANDGUN,"ハンドガンを装備して下さい。"
MSI_FAIL_NEED_EQUIPPED_PROPERTY_SAINT_BULLET,"シルバーバレットC又は、サンクタファイドバレットを装備して下さい。"
MSI_MERCHANT_SOLD_ITEM_LOG,"アイテム販売内訳"
MSI_MERCHANT_ITEM_BUY_LOG,"アイテム買取内訳"
MSI_FAIL_NEED_EQUIPPED_GUN_GRANADE,"グレネードガンを装備して下さい。"
MSI_FAIL_DUPLICATE_HEAT_BARREL_GS_MADNESSCANCEL_P_ALTER,"[ヒートバレル]、[マッドネスキャンセラー]、[プラチナムアルター]の効果は重複して使用できません。"
MSI_USESKILL_FAIL_MAP,"このマップでは使用できないスキルです。"
MSI_GUILD_STORAGE_WARNING,"ギルド倉庫を利用中の場合、倉庫のすべてのアイテムが消えることになります。"
MSI_AMERICA_CASHSHOP_URL_GAMESAMBA,"http://localhost:6900/"
MSI_SECOND_PASSWORD_INFO_4,"Enter your password to log in"
MSI_PET_EVOLUTION,"ペット進化"
MSI_PET_EVOLUTION_WITH_PET_NAME,"2569 (未実装)進化 - %s"
MSI_PET_EVOLUTION_NEED_ITEM,"進化には次の材料が必要です。"
MSI_DO_YOU_WANT_TO_EVOLVE_PET,"進化させますか？"
MSI_PET_EVOLUTION_FAIL_UNKNOWN,"不明なエラーが発生しました。"
MSI_PET_EVOLUTION_FAIL_NOTEXIST_CALLPET,"召喚されたペットがいません。"
MSI_PET_EVOLUTION_FAIL_NOT_PETEGG,"要請したものがペットの卵ではありません。"
MSI_PET_EVOLUTION_FAIL_RECIPE,"進化材料が足りません。"
MSI_PET_EVOLUTION_FAIL_MATERIAL,"進化に必要な材料が足りません。"
MSI_PET_EVOLUTION_FAIL_RG_FAMILIAR,"親密度がきわめて親しい状態でのみ進化できます。"
MSI_PET_AUTO_FEEDING,"ペット自動給餌変更"
MSI_PET_AUTO_FEEDING_REST,"ペットにエサを与えました。（%sの残り : %d個）"
MSI_PET_AUTO_FEEDING_ON,"ペット自動給餌ON"
MSI_PET_AUTO_FEEDING_OFF,"ペット自動給餌OFF"
MSI_REFRESH,"Update"
MSI_TIME_LINE_MINUTE,"%d minutes ago"
MSI_TIME_LINE_HOUR,"%d hours ago"
MSI_TIME_LINE_DAY,"%d days ago"
MSI_BASIC_EXP_MSG_PH,"%d%% ( Premium %d%% + %s Server )"
MSI_SEND_MAIL,"Mailed"
MSI_MAIL_SENT,"メールが送信されました。"
MSI_GET_ITEMS_FROM_MAIL_SUCCEED,"添付されたアイテムを獲得しました。"
MSI_GET_ITEMS_FROM_MAIL_FAILED,"アイテム受け取りに失敗しました。"
MSI_GET_ITEMS_FROM_MAIL_OVERWEIGHT,"アイテムの所持重量、または所持数に空きがありません。"
MSI_GET_ZENY_FROM_MAIL_SUCCEED,"ゼニーを受け取りました。"
MSI_GET_ZENY_FROM_MAIL_FAILED,"ゼニー受け取りに失敗しました。"
MSI_GET_ZENY_FROM_MAIL_OVERAMOUNT,"ゼニーの限界値を超えました。"
MSI_SET_ITEMS_TO_MAIL_SUCCEED,"アイテム添付成功"
MSI_INVALID_MAIL_RECIEVER_INFO,"キャラクター名が入力されておりません。"
MSI_INVALID_MAIL_TITLE_INFO,"タイトルが短すぎます。"
MSI_FAILED_SEND_MAIL,"メール送信に失敗しました。"
MSI_FAILED_SEND_MAIL_ITEM,"適切ではないアイテムだった為、送信に失敗しました。"
MSI_FAIELD_SEND_MAIL_TO,"受け取る人の情報が存在しません。"
MSI_EA6,"%s [%dオプション]"
MSI_PARTY_BOOKING_ERR5R2,"LEVELには「1～%d」の数字を入力してください。"
MSI_ITEM_WND_OVERFULL,"所持ウィンドウの空き空間を確保してください。"
MSI_FAILED_MAIL_LIMIT_CNT,"1日に送信できるメールは100通までです。"
MSI_FAILED_TO_WRITE_MAIL,"メールを開く事ができません。"
MSI_JOINED_IN_CLAN,"You currently belong to a clan."
MSI_GOLDPCCAFE_MILEAGE,"Internet cafe Gold mileage information"
MSI_PET_EVOLUTION_FAIL_PET_ACC_OFF,"ペットのアクセサリーを解除しなければ進化できません。"
MSI_TIME_LINE_MINUTE2,"in %d minutes"
MSI_TIME_LINE_HOUR2,"in %d hours"
MSI_TIME_LINE_DAY2,"in %d days"
MSI_INVALID_CCODE_INFO,"名前確認ボタンを押して、宛先を決定してください。"
MSI_FAILED_DELETE_MAIL,"添付されたアイテムを獲得した後、削除が可能です。"
MSI_FAILED_SEND_MAIL_ZENY,"現在、保有しているゼニーよりも多いゼニーを送る事はできません。"
MSI_SEND_MAIL_COMMISSION,"手数料 : %s Zeny"
MSI_FAILE_MAIL_RECIEVER_INFO,"入力したキャラクターは存在しません。"
MSI_TAIWAN_PERSONALINFO_EXPMSG,"E X P : %.1f%% ( basic %.1f%% premium %.1f%% + %s %.1f%%)"
MSI_TAIWAN_PERSONALINFO_DROPMSG,"DROP  : %.1f%% ( basic %.1f%% premium %.1f%% + %s %.1f%%)"
MSI_TAIWAN_PERSONALINFO_DEATHMSG,"DEATH : %.1f%% ( basic %.1f%% premium %.1f%% + %s %.1f%%)"
MSI_MILEAGE_HELP,"You can accumulate points of Internet cafe Gold up to %d points maximum."
MSI_RESTRAINT_OF_TRADE_1,"This function cannot be used in this server."
MSI_RESTRAINT_OF_TRADE_2,"Imposible to use in server."
MSI_RESTRAINT_OF_TRADE_3,"The auction is not available in server."
MSI_RESTRAINT_OF_TRADE_4,"The deal is imposible in server."
MSI_RESTRAINT_OF_TRADE_5,"Item discard is imposible in server."
MSI_RESTRAINT_OF_TRADE_6,"Store selling feature is not available."
MSI_USESKILL_FAIL_SUMMON_SP_INSUFFICIENT,"The SP's summoned enough."
MSI_SEND_MAIL_WEIGHT,"%s/%s"
MSI_INVALID_MAIL_CONTENTS_INFO,"メール内容の最大長さは1K以下になります。"
MSI_SET_ITEMS_TO_MAIL_FAILED,"アイテム添付失敗"
MSI_SET_ITEMS_TO_MAIL_OVER_WEIGHT,"メールに添付する事の出来るアイテムの重量がオーバーしました。"
MSI_DYNAMICNPC_FAIL_DUPLICATENAME,"すでにNPCが出現しています。"
MSI_FAILED_OPEN_ROULLETTE,"Unable to open the window of Lucky Roulette."
MSI_FAILED_CLOSE_ROULLETTE,"Unable to close the window of the Lucky Roulette."
MSI_FAILED_GENERATE_ROULLETTE,"You cannot start a roulette wheel of fortune."
MSI_NOT_ENOUGH_ROULLETTE_POINT,"Points is required to play Lucky Roulette."
MSI_FAILED_RECV_ITEM,"You cannot receive a winning items."
MSI_FAILED_RECV_ITEM_OVERCOUNT,"一部アイテムの個数が多く、アイテムを受け取ると30000個を超過します。"
MSI_FAILED_RECV_ITEM_OVERWEIGHT,"これ以上多くの荷物を持つことが出来ません。重量の空きを作ってください。"
MSI_MERCHANTSHOP_MAKING_FAIL,"Failed to open stalls."
MSI_FAILED_CLOSE_ROULLETTEWND,"The roulette wheel is spinning. Please try again after checking with prizes."
MSI_ROULLETTE_WND,"Lucky Roulette"
MSI_SOUNDEFFECT_ITEMSELLWND,"アイテム販売時に音を出す"
MSI_FAILED_SEND_MAIL_ITEMS,"Please check the fees."
MSI_CHECK_USER_NAME,"Verify user name"
MSI_DELETE_DUE_DATE,"削除予定"
MSI_ACHIEVEMENT_SYSTEM,"実績"
MSI_ACHIEVEMENT_TOTAL_SCORE,"達成総点"
MSI_ACHIEVEMENT_GRADE,"達成等級"
MSI_ACHIEVEMENT_SCORE_REQUIRED_TO_REWARD,"[%5d] points to the next rank"
MSI_ACHIEVEMENT_SUMMARY_TITLE,"進捗状況"
MSI_ACHIEVEMENT_RECENT_ACHIEVEMENT,"最近達成した課題"
MSI_CASH_GEDARE1,"Cracker  Item"
MSI_CASH_GEDARE2,"Cracker  : %d / %d "
MSI_CASH_GEDARE_FAIL_MONEY,"Cracker  is low."
MSI_CASH_GEDARE_MONEY,"%s"
MSI_ACHIEVEMENT_TAB_SUMMARY,"概要"
MSI_ACHIEVEMENT_TAB_GENERAL,"一般"
MSI_ACHIEVEMENT_TAB_GENERAL_CHARACTER,"行動"
MSI_ACHIEVEMENT_TAB_GENERAL_ACTION,"Action "
MSI_ACHIEVEMENT_TAB_GENERAL_REST,"Other "
MSI_ACHIEVEMENT_TAB_ADVENTURE,"冒険"
MSI_ACHIEVEMENT_TAB_ADVENTURE_RUNEMIDGARTS,"ローカルマップ"
MSI_ACHIEVEMENT_TAB_ADVENTURE_SCHWARZWALD,"イベント"
MSI_ACHIEVEMENT_TAB_ADVENTURE_ARUNAFELTZ,"エピソード"
MSI_ACHIEVEMENT_TAB_ADVENTURE_ANOTHERWORLD,"イグドラシル"
MSI_ACHIEVEMENT_TAB_ADVENTURE_LOCALIZING,"Localizing "
MSI_ACHIEVEMENT_TAB_ADVENTURE_DUNGEON,"Dungeon "
MSI_ACHIEVEMENT_TAB_BATTLE,"戦闘"
MSI_ACHIEVEMENT_TAB_BATTLE_PVP,"討伐"
MSI_ACHIEVEMENT_TAB_BATTLE_TRAINING,"Training "
MSI_ACHIEVEMENT_TAB_QUEST,"クエスト"
MSI_ACHIEVEMENT_TAB_QUEST_EPISODE,"イベント"
